subject,session,task,n_trials,n_sm_channels,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
sub-028,ses-01,activemotor,19,9,-0.714009,-0.753466,-0.642538,-1.19552,-0.560813,-1.1361,-0.815239,-1.08323,-0.782824,-0.97781,-0.677453,-0.857517,-0.720824,-0.866126,-0.796222,-1.02476,-0.705845,-0.951938,-0.696436,-0.993766,-0.733638,-1.01917,-0.847506,-1.13926
sub-028,ses-01,motorimagery,19,9,-0.709024,-0.993114,-0.665082,-1.00924,-0.824771,-1.01994,-0.797229,-1.04769,-0.894486,-1.01686,-0.896406,-1.19695,-0.604533,-0.9169,-0.803729,-0.998018,-0.831607,-0.957988,-0.627683,-1.06352,-0.736369,-0.965533,-0.712731,-0.979287
sub-028,ses-01,passivemotor,19,9,-0.593771,-1.00298,-0.562306,-0.960018,-0.717201,-0.741252,-0.745187,-0.879844,-0.729403,-0.938845,-0.568052,-0.991971,-0.711359,-0.994961,-0.707775,-1.02763,-0.763158,-1.03129,-0.677665,-1.05193,-0.806965,-0.918684,-0.737795,-1.12664
sub-028,ses-02,motorimagery,19,9,-0.650842,-0.866885,-0.769971,-0.952497,-0.696757,-1.08195,-0.763733,-1.08002,-0.651542,-0.86525,-0.823,-0.936372,-0.689754,-0.866435,-0.68606,-1.11704,-0.779312,-0.965756,-0.467309,-0.764065,-0.701676,-1.01425,-0.840139,-1.02556
sub-028,ses-02,passivemotor,19,9,-0.655557,-0.958081,-0.675642,-0.967498,-0.990681,-0.869203,-0.813167,-1.13798,-0.784537,-1.05091,-0.830599,-1.01033,-0.773926,-0.927351,-0.842482,-0.853503,-0.61728,-0.871306,-0.777053,-0.846781,-0.598603,-1.09459,-0.770904,-0.921297
sub-028,ses-03,activemotor,19,9,-0.737397,-0.990252,-0.812601,-0.911613,-0.754247,-0.889836,-0.758991,-1.00137,-0.843601,-0.877738,-0.755973,-1.00508,-0.857474,-0.935183,-0.826862,-1.00179,-0.679527,-0.914314,-0.820193,-0.892198,-0.679808,-0.944894,-0.798046,-0.930767
sub-028,ses-03,motorimagery,19,9,-0.727579,-1.10188,-0.755927,-0.827978,-0.692747,-0.897862,-0.733,-1.04153,-0.804242,-1.03261,-0.767483,-1.12125,-0.658046,-0.92496,-0.694043,-0.962848,-0.879733,-0.933092,-0.755519,-0.993179,-0.793452,-0.874847,-0.649043,-0.9417
sub-028,ses-03,passivemotor,19,9,-0.95252,-1.00264,-0.807368,-0.974971,-0.705961,-0.892144,-0.934084,-1.13844,-0.869732,-0.955388,-0.874511,-1.00229,-0.852167,-0.97286,-0.731147,-0.967006,-0.878241,-1.13707,-0.866085,-0.974309,-0.93965,-1.05401,-0.884346,-0.943796
sub-029,ses-01,activemotor,19,9,-0.774777,-0.978631,-0.752118,-0.996158,-0.735239,-1.05326,-0.735619,-1.04954,-0.564592,-1.15964,-0.725156,-1.05014,-0.881488,-0.966141,-0.750543,-1.17654,-0.761376,-1.21887,-1.0534,-1.10229,-1.12651,-1.06767,-0.746717,-1.12931
sub-029,ses-01,motorimagery,19,9,-0.776897,-0.945167,-0.857646,-1.04905,-0.831657,-0.921114,-0.753706,-0.83174,-0.905487,-1.00145,-0.717359,-1.13109,-0.84426,-0.959128,-0.788421,-1.11319,-0.901283,-0.900471,-0.832399,-0.889506,-0.784512,-0.871529,-1.05325,-0.961952
sub-029,ses-02,activemotor,19,9,-0.736048,-0.959467,-0.782266,-1.04818,-0.63648,-0.831978,-0.678505,-1.03043,-0.737845,-0.912776,-0.851149,-1.00538,-0.660968,-0.932513,-0.631351,-1.07485,-0.734556,-0.978922,-0.854614,-0.998157,-0.81998,-1.05368,-0.743792,-1.03305
sub-029,ses-02,motorimagery,19,9,-0.819385,-1.08867,-0.942772,-0.993116,-0.916729,-0.925445,-0.925074,-0.984089,-0.936255,-0.961252,-0.918597,-1.07555,-0.718385,-0.947304,-0.834833,-1.16713,-0.982014,-0.931943,-0.897214,-1.03147,-0.887746,-1.01189,-0.848382,-0.987937
sub-029,ses-03,activemotor,19,9,-0.370038,-1.08291,-0.607465,-0.964003,-0.64077,-1.07092,-0.777573,-0.917956,-0.718049,-0.781118,-0.813479,-1.08953,-0.879652,-0.941058,-0.675624,-1.25864,-0.801892,-1.08354,-0.475039,-1.09176,-0.754181,-1.12173,-0.675805,-0.903141
sub-029,ses-03,motorimagery,19,9,-0.900937,-1.0049,-0.887128,-1.03642,-0.963105,-0.950325,-0.92275,-1.04068,-1.01867,-0.864024,-0.75907,-1.12529,-0.847523,-0.916556,-0.967527,-1.01903,-0.976612,-0.899128,-0.846031,-1.01101,-0.658828,-1.00587,-0.829637,-1.08672
sub-029,ses-03,passivemotor,19,9,-0.819002,-1.067,-0.671314,-1.04353,-0.854478,-1.14661,-0.715818,-1.05749,-0.706011,-1.16376,-0.711157,-0.970295,-0.828944,-0.931022,-1.01991,-2.72029,-2.27059,-1.00124,-0.97248,-0.908791,-0.719681,-1.33175,-0.938132,-0.919944
sub-030,ses-01,activemotor,19,9,-0.829996,-1.25286,-0.744179,-1.02124,-0.703559,-0.887534,-0.598673,-1.07783,-0.858193,-1.01447,-0.74913,-0.8767,-0.746831,-0.999818,-0.632136,-0.898039,-0.634705,-1.00655,-0.596671,-1.17767,-0.851637,-0.941452,-0.799402,-1.18917
sub-030,ses-01,motorimagery,19,9,-0.765734,-0.840483,-0.620388,-0.938578,-0.644661,-0.772488,-0.708319,-0.862338,-0.713846,-0.947401,-0.698398,-0.745696,-0.599972,-0.969889,-0.563435,-0.888705,-0.710279,-0.641305,-0.542209,-0.887059,-0.532072,-0.773955,-0.469647,-0.630129
sub-030,ses-02,motorimagery,19,9,-0.783085,-0.950917,-0.900473,-0.920992,-0.816835,-0.874903,-0.78919,-0.966203,-0.798694,-0.89769,-0.746839,-0.883253,-0.853505,-1.0234,-0.73626,-0.786331,-0.760896,-0.987517,-0.709756,-0.886569,-0.709702,-0.870299,-0.85632,-0.984985
sub-030,ses-03,activemotor,19,9,-0.81699,-1.00025,-0.747795,-0.91449,-0.730375,-0.766445,-0.725152,-0.924144,-0.7941,-0.979595,-0.724561,-1.11132,-0.747961,-1.01723,-0.745779,-0.962001,-0.88233,-1.06563,-0.777507,-0.931534,-0.818813,-1.09258,-0.800535,-1.10219
sub-030,ses-03,motorimagery,19,9,-0.831248,-0.989554,-0.756766,-0.796897,-0.764681,-0.818933,-0.708997,-0.822949,-0.670985,-1.08693,-0.828132,-0.93006,-0.689403,-0.91269,-0.636623,-1.01477,-0.718207,-1.10731,-0.907043,-0.924493,-0.644762,-1.04741,-0.869734,-0.855469
