subject,session,task,n_trials,n_sm_channels,n_channels,erd_sm,erd_wholehead,sfreq
sub-009,ses-02,passivemotor,19,9,33,0.14561341346029255,0.14951876022831187,250.00025000025002
sub-009,ses-03,activemotor,19,9,33,0.17766736330958738,0.1776658354620102,250.00025000025002
sub-009,ses-03,motorimagery,19,9,33,0.14746542835720175,0.1626748877265864,250.00025000025002
sub-009,ses-03,passivemotor,19,9,33,0.14809236969982117,0.15172911229494665,250.00025000025002
sub-010,ses-01,activemotor,19,9,33,0.14922579922590704,0.1849838558612608,250.00075000225
sub-010,ses-01,motorimagery,19,9,33,0.14924570186850045,0.14924618350559973,250.00075000225
sub-010,ses-01,passivemotor,19,9,33,0.1485126629958401,0.15212994314936046,250.00075000225
sub-010,ses-02,activemotor,19,9,33,0.14921267353514778,0.14921345951886186,250.00075000225
sub-010,ses-02,motorimagery,19,9,33,0.14915766538417233,0.13241607301905578,250.00075000225
sub-010,ses-02,passivemotor,19,9,33,0.14917812580279063,0.15281187489982778,250.00075000225
sub-010,ses-03,activemotor,19,9,33,0.1492480337302784,0.14924807046351055,250.00050000099998
sub-010,ses-03,motorimagery,19,9,33,0.14912899810398783,0.16433606603746073,250.00050000099998
sub-011,ses-01,activemotor,19,9,33,0.14919319670594336,0.1849468468686168,250.00025000025002
sub-011,ses-01,motorimagery,19,9,33,0.1490721485053106,0.14907362291131812,250.00025000025002
sub-011,ses-01,passivemotor,19,9,33,0.1491671521106018,0.15280434969418172,250.00025000025002
sub-011,ses-02,activemotor,19,9,33,0.15629884627774424,0.15629953956681622,250.00025000025002
sub-011,ses-02,motorimagery,19,9,33,0.14918610519606781,0.1324467216452112,250.00025000025002
sub-011,ses-02,passivemotor,19,9,33,0.14922437458694432,0.15283804689202177,250.00025000025002
sub-011,ses-03,activemotor,19,9,33,0.14920957545973468,0.14920960151612075,250.00050000099998
sub-011,ses-03,motorimagery,19,9,33,0.14922196601381654,0.16442820428572405,250.00050000099998
sub-011,ses-03,passivemotor,19,9,33,0.1514839357325035,0.15509956011327766,250.00050000099998
sub-012,ses-01,motorimagery,19,9,33,0.10106731899522377,0.10106714337128457,249.99975000025003
sub-012,ses-01,passivemotor,19,9,33,0.10107578261273761,0.10731700375131502,249.99975000025003
sub-012,ses-02,motorimagery,19,9,33,0.1491911960133192,0.1324503896568477,250.00075000225
sub-012,ses-02,passivemotor,19,9,33,0.1509036984663219,0.15449016185754577,250.00075000225
sub-012,ses-03,motorimagery,19,9,33,0.1491582975589398,0.1643655912701912,250.00050000099998
sub-013,ses-01,passivemotor,19,9,33,0.14920667727126957,0.15283409977118279,250.00050000099998
sub-013,ses-02,motorimagery,19,9,33,0.14920607797855595,0.13244430163605547,250.00050000099998
sub-013,ses-02,passivemotor,19,9,33,0.14916271326174413,0.152799523156189,250.00050000099998
sub-013,ses-03,motorimagery,19,9,33,0.14915807881407125,0.16436608162323205,250.00050000099998
sub-013,ses-03,passivemotor,19,9,33,0.14920837397167674,0.13245364243246624,250.00050000099998
sub-014,ses-02,motorimagery,19,9,33,0.044383254513146835,-0.007625774816050979,250.00050000099998
sub-014,ses-03,motorimagery,19,9,33,0.2650048612281779,0.24523131734183773,250.00050000099998
sub-015,ses-01,activemotor,19,9,33,0.06744202017880001,0.35586765529074993,250.00025000025002
sub-015,ses-01,motorimagery,19,9,33,0.15419029491539105,0.17472644776324298,250.00025000025002
sub-015,ses-02,activemotor,19,9,33,0.07018175458395659,0.10982896599513114,250.00025000025002
sub-015,ses-02,motorimagery,19,9,33,0.15642625151720427,0.14753209627166458,250.00025000025002
sub-015,ses-03,motorimagery,19,9,33,0.17679395050948712,0.12444701538985624,250.00025000025002
sub-016,ses-01,activemotor,19,9,33,0.06655541336609035,0.38402824454006756,250.00050000099998
sub-016,ses-01,motorimagery,19,9,33,0.10064591561235513,0.11700303269587094,250.00050000099998
sub-016,ses-01,passivemotor,19,9,33,0.038516038373122216,0.2973962073673143,250.00050000099998
sub-016,ses-02,activemotor,19,9,33,0.051189580849264074,0.07959419269686234,250.0
sub-016,ses-02,motorimagery,19,9,33,0.14171919260125448,0.16027321663797597,250.0
sub-016,ses-02,passivemotor,19,9,33,0.007646450556593023,0.3173143771781302,250.0
