recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_task,meta_acq,meta_run,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
ds005620/sub-1016/eeg/sub-1016_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1016,ok,,64,5000,600000,awake,tms,,0.4680779035,0.4589832523,0.7292565471,2125.944034,0.03535556915,0.2269578137,0.2487474056,0.3482444699,0.105695922,,0.1197215478,0.07618687652,0.04317773974,42.74849346,0.999541652,0.4029426056,0.1769198228,0.03311248326
ds005620/sub-1016/eeg/sub-1016_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1016,ok,,64,5000,600000,sed,tms,1,0.4848051849,0.4449853947,0.722154035,1475.396922,-0.02294481551,0.09521185223,0.5325746676,0.3115605217,0.05295995158,,0.1119982829,0.1266290644,0.03822886918,42.60440635,0.9896400507,0.2387728117,0.187166017,0.06270945807
ds005620/sub-1016/eeg/sub-1016_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1016,ok,,64,5000,600000,sed,tms,2,0.4573526442,0.4728351256,0.7362173043,2495.772952,0.05219764685,0.01395367087,0.4056107475,0.3864336667,0.09221965129,,0.111359985,0.114879045,0.04303562207,42.64140447,0.9936674587,0.2151605842,0.1580822637,0.02213908432
ds005620/sub-1016/eeg/sub-1016_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1016,ok,,64,5000,600000,sed,tms,3,0.5027268764,0.4109980617,0.7048927553,823.7075163,-0.0140674614,0.1329791694,0.5977711401,0.3482704224,0.09703867375,,0.06593244607,0.4795950857,0.03636282039,40.74709825,0.7934324557,0.4536037458,0.3075507082,0.03394628189
ds005620/sub-1017/eeg/sub-1017_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1017,ok,,64,5000,600000,awake,tms,,0.4500219988,0.4328283536,0.7161337674,1782.107427,0.01568611084,0.2828289835,0.3600014796,0.3805813637,0.1760820428,,0.1204467019,0.08815276589,0.03950223532,42.68867405,0.9983604496,0.5958259748,0.3159604517,0.01436223144
ds005620/sub-1024/eeg/sub-1024_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1024,ok,,64,5000,600000,awake,tms,,0.4608708423,0.4131054972,0.7062331211,1563.321,0.02155926643,0.562419455,0.4026621111,0.4228451129,0.1912563031,,0.1130622564,0.07630505675,0.03488486512,42.70597684,0.999033193,0.7736566418,0.3728739113,0.02850000824
ds005620/sub-1024/eeg/sub-1024_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1024,ok,,64,5000,600000,sed,tms,1,0.4595866047,0.3323992734,0.6660112114,2652.571198,0.005005995674,0.9915988674,0.3078730367,0.5263958402,0.1038286003,,0.1412007567,0.1185911985,0.04309180431,42.34798126,0.9889318135,0.9701450937,0.5221423179,0.04545796189
ds005620/sub-1024/eeg/sub-1024_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1024,ok,,64,5000,600000,sed,tms,2,0.4735433683,0.3489025149,0.6742142592,2108.720085,0.09549991548,1.281667616,0.06242734719,0.6487362233,0.1144542707,,0.1447149792,0.0885653435,0.03852070359,42.43655242,0.9952558358,0.8082300631,0.4530134678,0.02541932332
ds005620/sub-1024/eeg/sub-1024_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1024,ok,,64,5000,600000,sed,tms,3,0.4722986175,0.3454425944,0.6725087008,2350.874368,0.2598278618,1.326170468,0.09510385663,0.6688754124,0.1310775741,,0.1429588667,0.0967975787,0.04268963752,42.39480305,0.9930992732,0.8142882807,0.4831217594,0.02498462823
ds005620/sub-1036/eeg/sub-1036_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1036,ok,,64,5000,600000,awake,tms,,0.4625832849,0.5249448384,0.7622493224,2240.180142,0.1093152693,0.03086163683,0.1961894726,0.3302982724,0.2090144661,,0.1155102567,0.08677062242,0.02953696138,42.66498556,0.9989298085,0.07255153804,0.05803657992,0.03749135387
ds005620/sub-1036/eeg/sub-1036_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1036,ok,,64,5000,600000,sed,tms,1,0.4443032614,0.4926015606,0.7461082203,2595.593702,0.0199467032,0.02115043508,0.3791433074,0.3975283874,0.05483273364,,0.1187494815,0.1353940396,0.02023050067,42.49677019,0.9845872681,0.1467564879,0.0917891243,0.08081162187
ds005620/sub-1045/eeg/sub-1045_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1045,ok,,64,5000,600000,awake,tms,,0.4515294239,0.3929587341,0.6962767616,2466.850744,-0.1998025531,0.2508565325,0.4422099425,0.4912560696,0.06237413734,,0.1365356715,0.07644571017,0.03372835577,42.61949771,0.9975789529,0.5864364223,0.3707104088,0.08771602524
ds005620/sub-1045/eeg/sub-1045_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1045,ok,,64,5000,600000,sed,tms,1,0.4635526871,0.3167476466,0.6581584818,2320.89301,0.04943560658,0.4553386162,0.6418990227,0.4470977832,0.1394538503,,0.1284253856,0.174622438,0.03758412167,42.23542228,0.9730625629,0.7366172771,0.4216994961,0.02654426504
ds005620/sub-1045/eeg/sub-1045_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1045,ok,,64,5000,600000,sed,tms,2,0.4896836568,0.3292755619,0.6644410441,2540.46603,-0.03433971856,0.8399665217,0.4144848642,0.5747324893,0.1670864115,,0.1386074451,0.1106374641,0.04072813414,42.44295804,0.9935042985,0.9625130348,0.5751820667,0.01209781799
ds005620/sub-1045/eeg/sub-1045_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1045,ok,,64,5000,600000,sed,tms,3,0.4759890157,0.3248412092,0.6622023007,2289.385234,-0.01956946828,0.5665404219,0.5586311527,0.4611510962,0.07735056927,,0.1366219747,0.1244380261,0.03839245011,42.4272132,0.9879280466,0.9235641746,0.5257113773,0.03157079455
