subject,status,error,csp_auc,perm_p,perm_null_mean,n_trials,n_left,n_right,n_channels,n_perm
S001,ok,,0.666008,0.054726,0.496833,45,23,22,64,200
S002,ok,,0.966403,0.004975,0.498330,45,23,22,64,200
S085,ok,,0.946640,0.004975,0.488844,0.932806,0.004975,0.491349,45,23,22,64,3,200
S090,ok,,0.510870,0.477612,0.508933,0.600791,0.129353,0.487925,45,22,23,64,3,200
S086,ok,,0.757905,0.004975,0.487772,0.656126,0.039801,0.489664,45,22,23,64,3,200
S091,ok,,0.432806,0.696517,0.492258,0.488142,0.497512,0.493488,45,22,23,64,3,200
S083,ok,,0.569170,0.283582,0.492248,0.681818,0.014925,0.497213,45,22,23,64,3,200
S095,ok,,0.550395,0.318408,0.499610,0.496047,0.507463,0.498814,45,23,22,64,3,200
S093,ok,,0.592885,0.194030,0.483508,0.794466,0.004975,0.477218,45,23,22,64,3,200
S096,ok,,0.476285,0.577114,0.488943,0.622530,0.089552,0.492421,45,23,22,64,3,200
S087,ok,,0.514822,0.432836,0.496986,0.427866,0.761194,0.500850,45,22,23,64,3,200
S099,ok,,0.479249,0.582090,0.498552,0.617589,0.089552,0.480810,45,22,23,64,3,200
S104,error,HTTPError: HTTP Error 502: Bad Gateway,,,,,,,,,,,,200
